Id,Have,Base,Name,Sub Base,Ingredient,Ingredient Type,Amount,Units,Link
175,No,Cordial,Cinnamon Nuts and Cream,Frangelico,Cream,Mixer,1,Ounce,http://www.drinksmixer.com/cat/2384/
176,No,Cordial,End of My Ropes,Frangelico,Frangelico Liqueur,Cordial,1.5,Ounce,http://www.drinksmixer.com/cat/2384/
114,Yes,Cordial,Cold Shower,Crème de Menthe,Crème de Menthe (Green),Cordial,1,Ounce,http://www.drinksmixer.com/cat/2406/
178,No,Cordial,End of My Ropes,Frangelico,Pineapple Juice,Juice,1,Ounce,http://www.drinksmixer.com/cat/2384/
179,No,Cordial,End of My Ropes,Frangelico,Angostura Bitters,Bitters,1,Dashes,http://www.drinksmixer.com/cat/2384/
180,No,Cordial,Frangelico Hot Chocolate,Frangelico,Frangelico Liqueur,Cordial,2,Ounce,http://www.drinksmixer.com/cat/2384/
181,No,Cordial,Frangelico Hot Chocolate,Frangelico,Hot Chocolate,Mixer,6,Ounce,http://www.drinksmixer.com/cat/2384/
182,No,Cordial,Frangelico Sour,Frangelico,Frangelico Liqueur,Cordial,1.5,Ounce,https://cocktails.lovetoknow.com/cocktail-recipes/12-luscious-easy-frangelico-drink-recipes
183,No,Cordial,Frangelico Sour,Frangelico,Lime Juice,Fruit,0.75,Ounce,https://cocktails.lovetoknow.com/cocktail-recipes/12-luscious-easy-frangelico-drink-recipes
184,No,Cordial,Frangelico Sour,Frangelico,Lemon Juice,Fruit,0.75,Ounce,https://cocktails.lovetoknow.com/cocktail-recipes/12-luscious-easy-frangelico-drink-recipes
185,No,Cordial,French Fry,Frangelico,Frangelico Liqueur,Cordial,1,Ounce,http://www.drinksmixer.com/cat/2384/
186,No,Cordial,French Fry,Frangelico,Pineapple Juice,Juice,1,Dashes,http://www.drinksmixer.com/cat/2384/
187,No,Cordial,French Fry,Frangelico,Lime Juice,Fruit,2,Ounce,http://www.drinksmixer.com/cat/2384/
188,No,Cordial,French Fry,Frangelico,Triple Sec,Cordial,0.5,Ounce,http://www.drinksmixer.com/cat/2384/
189,No,Cordial,Friar Tuck,Frangelico,Frangelico Liqueur,Cordial,1,Ounce,http://www.drinksmixer.com/cat/2384/
116,No,Cordial,Dead Grasshopper,Crème de Menthe,Crème de Menthe (Green),Cordial,1,Ounce,http://www.drinksmixer.com/cat/2406/
191,No,Cordial,Friar Tuck,Frangelico,Cream,Mixer,2,Ounce,http://www.drinksmixer.com/cat/2384/
192,No,Cordial,Friesian,Frangelico,Frangelico Liqueur,Cordial,1,Ounce,http://www.drinksmixer.com/cat/2384/
193,No,Cordial,Friesian,Frangelico,Almond Liqueur,Cordial,1,Ounce,http://www.drinksmixer.com/cat/2384/
194,No,Cordial,Friesian,Frangelico,Ice Cream,Mixer,3,Tablespoon,http://www.drinksmixer.com/cat/2384/
195,No,Cordial,Friesian,Frangelico,Chocolate Syrup,Syrup,1,Teaspoon,http://www.drinksmixer.com/cat/2384/
196,No,Cordial,Hazelnut and Coke,Frangelico,Frangelico Liqueur,Cordial,2,Ounce,https://cocktails.lovetoknow.com/cocktail-recipes/12-luscious-easy-frangelico-drink-recipes
197,No,Cordial,Hazelnut and Coke,Frangelico,Coke,Soda,4,Ounce,https://cocktails.lovetoknow.com/cocktail-recipes/12-luscious-easy-frangelico-drink-recipes
198,No,Cordial,Heavenly Orgasm,Frangelico,Frangelico Liqueur,Cordial,2,Ounce,http://www.drinksmixer.com/cat/2384/
199,No,Cordial,Heavenly Orgasm,Frangelico,Almond Liqueur,Cordial,1,Ounce,http://www.drinksmixer.com/cat/2384/
